Indicator type,Indicator,Description
FileHash-SHA256,8fb8422e0867f4a3b17e67e8d689c683a7fd3df66f1c0ddc8f1edad7574c9daa,
FileHash-SHA256,5c1259f111dbd5e3a4994c2a782e131a7ac4d64672034c5a648f1ee00eadc874,
FileHash-SHA256,e50d97e7637f5a7d9b19dabf6a8449cebfd37727c1d093e569cedb0386833534,
domain,cobind.com,
URL,http://93.184.220.29:80,
FileHash-MD5,177868dc3c7c6565ae40354c97e5ae67,
FileHash-MD5,f34d5f2d4577ed6d9ceec516c1f5a744,
FileHash-MD5,620f0b67a91f7f74151bc5be745b7110,
FileHash-MD5,b46fa6a3f0fef91f2f1d61391ab6e8d5,
FileHash-MD5,c92ec1e6e931bb55befc3d02e824ce27,
FileHash-MD5,46c66e17ad42c2caeb3b7fa407952a59,
FileHash-SHA1,8ab96a03abd7f1de37ad67e7d7336ad3f4ac2433,
FileHash-SHA1,584d6a441f7c814a1c10b8c312c71dc58d0e4267,
IPv4,8.253.82.110,
IPv4,8.253.82.46,
